Major during first year,Undeclared/no major,Humanities,Social/behavioral sciences,Life sciences,Physical sciences,Math,Computer/information science,Engineering,Education,Business/management,Health,Vocational/technical,Other technical/professional
 ,,,,,,,,,,,,,
Persistence and attainment 97-98 (F98),,,,,,,,,,,,,
  Did not enroll during academic year,21.8978,8.7346,2.8058,1.5909,0.2308,0.3259,2.4573,6.4774,2.2116,15.0806,9.9619,8.1416,20.0837
  Enrll at least one month and attained,12.5625,11.4888,5.6721,2.6265,0.6108,0,1.3218,11.263,7.6802,12.1431,8.0793,4.2809,22.2708
"  Enrolled 8 months, no degree",31.2508,11.6342,6.1955,6.0976,0.8196,0.5244,1.7504,7.075,6.4698,11.7935,8.2883,0.6499,7.451
"  Enrolled <8 months, no degree",23.0161,12.6158,7.0538,2.4009,0.338,0.6976,1.9491,5.805,6.7627,10.0596,11.3462,2.2418,15.7134
 ,,,,,,,,,,,,,
Track exit(1st) month-intensity thru 01,,,,,,,,,,,,,
  Never left persistence track,25.4268,10.2112,6.1022,5.2286,0.8223,0.5255,1.9768,7.3613,6.2567,12.8244,8.5215,2.5793,12.1635
  Full-time,21.6987,10.2569,4.3903,4.0722,0.3286,0.6047,1.9435,6.9086,3.7225,13.462,10.4887,4.8082,17.315
  Part-time,36.3333,13.5825,2.2798,0.9819,0.2706,0.3203,2.1057,4.8633,2.6023,12.1344,7.5451,5.5628,11.4181
  Mixed,27.5617,11.3737,6.0392,3.128,0.8204,0,2.0235,6.3186,7.272,12.1523,11.2891,1.7732,10.2481
  Intensity unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 ,,,,,,,,,,,,,
Track exit(1st) year 2001,,,,,,,,,,,,,
  Never left persistence track,25.4268,10.2112,6.1022,5.2286,0.8223,0.5255,1.9768,7.3613,6.2567,12.8244,8.5215,2.5793,12.1635
  Academic year 1995-1996,27.2189,11.2207,3.0954,2.7449,0.2401,0.4144,1.9354,4.3911,3.4283,13.5769,10.2256,6.1999,15.3085
  Academic year 1996-1997,22.4161,10.3866,6.633,3.5062,0.4719,0.4704,2.5318,9.6154,3.5505,12.5908,10.5185,2.8407,14.4681
  Academic year 1997-1998,31.1978,12.5591,3.3832,2.703,0.3766,0.2332,1.4981,7.6227,8.5149,8.9981,9.831,1.49,11.5924
  Academic year 1998-1999,30.5103,13.7639,4.8552,3.8285,1.7585,0.2462,1.3598,9.0176,5.1779,12.1949,10.0579,1.099,6.1302
  Academic year 1999-2000,28.4561,11.1649,10.7458,3.984,1.2329,0,3.496,7.2828,2.9729,17.1367,2.8033,0,10.7246
  Academic year 2000-2001,25.3192,10.7612,0.7635,2.5592,0,0,0,4.7445,12.6788,11.9069,10.6685,0,20.5981
 ,,,,,,,,,,,,,
Track exit(1st) type 2001,,,,,,,,,,,,,
"  Never left track, same school",23.6246,8.0313,6.0902,5.5921,0.9693,0.6223,2.2494,8.4444,5.0982,13.6184,8.0908,3.4336,14.1353
"  Never left track, transferred",30.4556,16.2937,6.1355,4.2143,0.4121,0.2553,1.2163,4.3388,9.4891,10.609,9.7232,0.1954,6.6616
  Immediate downward transferred,28.2924,10.356,5.2674,8.5396,0.699,0.0721,3.7164,8.3468,5.1668,12.358,10.966,0.3879,5.8316
  Stopped out,27.137,11.3721,4.6652,3.345,0.525,0.354,1.4134,6.9829,4.9596,11.3355,10.8341,2.1944,14.8818
  Left without return,26.5514,11.5511,3.6388,1.8038,0.303,0.4371,2.4585,5.3772,3.5034,14.5065,8.7715,7.1815,13.9164
 ,,,,,,,,,,,,,
Persistence track outcome through 2001,,,,,,,,,,,,,
  Did not start at 4-year inst in 1995-96,23.6084,11.4872,3.003,1.4848,0.1807,0.3065,1.8212,6.3787,3.7264,13.9159,11.0763,5.5899,17.4211
  Still on persistence track,23.7434,8.2024,7.0561,10.7211,1.5215,0.2203,3.1826,10.3216,7.8859,8.5916,9.9084,0.3634,8.2817
"  On track, attained bachelor's degree",29.0619,9.2814,8.4315,8.3515,1.4565,1.0276,1.7145,7.467,7.7965,11.8124,6.9374,0.1828,6.4791
"  Left track, attained AA/certificate",20.4687,5.6653,4.8358,4.7533,0.0653,0.1973,2.7166,12.5994,2.4335,11.4979,11.2008,5.4634,18.1026
"  Left track, downward/delayed transfer",33.4599,9.3573,6.8709,7.2414,0.4622,0.1405,2.9903,7.0563,8.1485,10.5828,7.3438,0.3293,6.0168
"  Left track, stopout",34.7179,12.7457,7.9419,6.2912,1.5325,0.1953,2.4916,6.9023,5.2708,8.9416,5.0768,0.2989,7.5934
"  Left track, left without return",31.1519,12.8418,9.0349,5.3729,1.0122,0.1635,2.832,6.0013,6.9522,11.9555,5.0717,0.824,6.7862
 ,,,,,,,,,,,,,
Gender,,,,,,,,,,,,,
  Male,27.9517,11.3541,3.9637,4.3742,0.7724,0.5429,2.6803,12.4753,2.7196,10.8097,4.5823,7.1242,10.6496
  Female,24.9032,10.4514,6.0131,3.7073,0.4785,0.3554,1.4308,2.2082,7.2616,14.3685,13.1928,0.4921,15.1371
 ,,,,,,,,,,,,,
Race/ethnicity,,,,,,,,,,,,,
"  White, non-Hispanic",26.4109,11.8575,5.3048,3.4827,0.6731,0.4588,1.8049,6.6265,5.7456,12.9317,8.6443,3.4193,12.6398
"  Black, non-Hispanic",19.2472,7.3702,4.8882,4.8118,0.2765,0.2605,2.3877,5.4144,3.1348,12.2621,15.354,4.5352,20.0573
  Hispanic,29.7734,8.4808,4.2923,4.5441,0.108,0.6361,2.1915,7.9317,5.5724,12.6316,8.2684,3.9934,11.5762
  Asian/Pacific Islander,32.1664,9.2731,5.1901,9.5595,1.9783,0,1.6044,8.6468,2.6931,12.9868,8.807,0.2812,6.8133
  American Indian/Alaska Native,35.5118,15.7603,1.7414,0.8772,0.522,0,0.4416,12.4189,4.6382,10.279,2.3492,2.7271,12.7333
  Other,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  Non-resident alien,29.8676,17.2416,6.4047,0,0,1.9815,13.7238,8.8351,0,12.7184,0,0,9.2273
 ,,,,,,,,,,,,,
Socioeconomic diversity index 1995-96,,,,,,,,,,,,,
  Not disadvantaged,30.986,12.9504,5.8739,5.377,0.7015,0.4559,2.1736,6.8443,5.8104,10.2382,6.7754,2.3378,9.4757
  Minimally disadvantaged,23.0998,9.4357,4.4187,2.7592,0.5587,0.3584,1.6172,6.9207,4.7059,15.0456,11.7747,4.4069,14.8984
  Moderately or highly disadvantaged,20.7168,8.0486,4.599,3.3255,0.5,0.6168,2.4576,6.6722,4.413,14.2332,10.7958,4.6243,18.9971
 ,,,,,,,,,,,,,
Cumulative Grade Point Average (GPA) as of 2001,,,,,,,,,,,,,
  Mostly A's,26.7321,11.6647,6.6725,5.2269,0.5996,0.3968,1.9805,6.1535,8.5063,9.8055,10.2471,1.7667,10.2477
  A's and B's,27.6521,12.3499,6.8801,5.1432,0.9979,0.3388,1.3809,5.6561,8.5701,10.4016,10.1857,1.7947,8.6488
  Mostly B's,30.6778,10.6274,5.3258,5.8857,0.6485,0.4845,2.0987,8.1254,5.3237,12.8921,8.431,1.1537,8.3257
  B's and C's,30.8022,12.5885,5.4891,4.9582,1.3522,0.9202,1.3559,9.0492,4.5364,12.0585,7.732,0.8139,8.3436
  Mostly C's,28.1916,12.9338,8.3403,3.4472,0.2824,0,1.5157,8.1061,2.7699,10.4893,9.5341,0.5464,13.8431
  C's and D's,9.2909,6.3225,17.6546,6.569,0,0,7.1563,20.18,3.4132,13.1777,0,0,16.236
  Mostly D's or below,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 ,,,,,,,,,,,,,
Grade point average 1998,,,,,,,,,,,,,
  Mostly A's,21.4415,11.287,7.2836,3.768,0.5065,0.9513,2.4463,7.1874,4.3912,13.4794,9.2522,3.8516,14.1541
  As and Bs,25.6568,10.7771,5.7656,5.501,1.1257,0.4366,1.8657,6.7712,7.8038,11.0843,10.9761,1.8061,10.4301
  Mostly B's,28.0452,11.2806,5.2473,4.6522,0.8336,0.1907,2.0315,7.8932,6.5283,13.4813,8.8551,2.0032,8.9577
  B's and C's,28.9502,10.2268,7.1107,3.9017,0.6258,0.626,1.4197,7.5087,5.4321,13.6185,6.8237,1.5067,12.2494
  Mostly C's,27.7352,12.3215,7.7373,4.5849,0.2538,0.1791,2.0595,8.1298,3.4369,12.7685,9.8265,1.6856,9.2816
  C's and D's,45.2605,3.3174,10.3849,0,0,0,2.811,16.5815,0,8.0207,0,2.9588,10.6652
  Mostly D's or below,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  Pass/fail,20.1231,18.3091,1.4007,1.7617,0,0,3.0926,5.6008,1.1585,13.996,0.5641,2.6986,31.2948
  School does not award grades,0.9507,3.5251,1.2654,1.3427,1.3426,0,4.3269,0,0.3297,3.7114,17.4391,3.4171,62.3493
 ,,,,,,,,,,,,,
Grade point average in high school,,,,,,,,,,,,,
  D- to D,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  D to C-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  C- to C,21.4746,6.9183,3.0603,2.2053,0,1.1066,0.6541,3.0594,1.7185,31.1927,6.9011,1.055,20.654
  C to B-,27.6628,14.0848,5.2167,3.5047,0.3112,0,1.4413,5.9818,7.1267,12.8022,11.7584,1.6013,8.5082
  B- to B,30.02,14.9556,4.6695,2.2,0.0131,0.3366,2.2947,3.1509,7.6556,15.2956,9.7799,1.6589,7.9697
  B to A-,27.0784,12.2256,6.0811,6.1155,0.5979,0.7035,1.6057,7.5364,7.2613,11.6947,7.4434,0.9075,10.7489
  A- to A,30.3547,8.7077,6.1637,9.3399,2.284,0.7438,1.6838,10.4792,6.5076,8.5226,9.0421,0.0689,6.1019
 ,,,,,,,,,,,,,
ACT composite score,,,,,,,,,,,,,
  7 < X < 10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  11 < X < 13,28.6726,10.666,5.2423,0.3418,0,0,2.1266,15.3174,8.6341,7.9754,5.1547,0,15.869
